epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
20,995.388,0.52386,0.54152,0.88845,0.95494,0.97343,0.98925,0.90262,0.45931,0.58476,0.83336,0.0012476,0.0012476,0.0012476
21,1046.85,0.53683,0.5345,0.89187,0.95519,0.97594,0.9888,0.90576,0.43685,0.56604,0.82932,0.001208,0.001208,0.001208
22,1093.67,0.53084,0.53849,0.89408,0.95416,0.96263,0.98593,0.90972,0.43929,0.61663,0.83281,0.0011684,0.0011684,0.0011684
23,1140.12,0.51729,0.52033,0.88739,0.95137,0.96595,0.98614,0.9018,0.45106,0.64101,0.83859,0.0011288,0.0011288,0.0011288
24,1185.51,0.53215,0.54214,0.9035,0.97715,0.97576,0.99216,0.90932,0.43248,0.4999,0.82665,0.0010892,0.0010892,0.0010892
25,1237.49,0.51377,0.5526,0.88862,0.97654,0.9758,0.99261,0.92443,0.40365,0.51797,0.82155,0.0010496,0.0010496,0.0010496
26,1284.14,0.47671,0.50313,0.87368,0.9607,0.9725,0.98626,0.91796,0.40457,0.5085,0.82246,0.00101,0.00101,0.00101
27,1329.64,0.51246,0.50626,0.88342,0.96228,0.97262,0.98653,0.91126,0.42492,0.51959,0.82665,0.0009704,0.0009704,0.0009704
28,1376.01,0.49424,0.48195,0.88079,0.96943,0.98113,0.99101,0.92176,0.40999,0.49107,0.82493,0.0009308,0.0009308,0.0009308
29,1430.09,0.47879,0.47418,0.87034,0.97422,0.97844,0.99149,0.91809,0.41955,0.50316,0.8275,0.0008912,0.0008912,0.0008912
30,1477.73,0.48677,0.48319,0.86888,0.97338,0.98274,0.9926,0.92781,0.39602,0.4586,0.81565,0.0008516,0.0008516,0.0008516
31,1524.39,0.46325,0.45991,0.8641,0.97789,0.98134,0.99332,0.92712,0.38304,0.44146,0.81055,0.000812,0.000812,0.000812
32,1576.69,0.48268,0.46654,0.87677,0.98664,0.9875,0.99403,0.93467,0.37882,0.4332,0.8104,0.0007724,0.0007724,0.0007724
