epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1391.18,0.76904,1.04334,1.0318,0.82981,0.39007,0.75341,0.64891,0.57762,2.09937,0.86151,0.000502444,0.000502444,0.000502444
31,1412.23,0.70572,0.8386,0.95127,0.82981,0.39007,0.75341,0.64891,0.57762,2.09937,0.86151,0.00049532,0.00049532,0.00049532
32,1422.37,0.67199,0.90877,0.98024,0.82484,0.54,0.77467,0.67296,0.55915,1.98308,0.85855,0.000486612,0.000486612,0.000486612
33,1453.76,0.71809,0.89725,0.97597,0.84369,0.75566,0.81847,0.7099,0.55063,1.83304,0.85694,0.00047632,0.00047632,0.00047632
34,1472.47,0.6796,0.89969,0.98317,0.84369,0.75566,0.81847,0.7099,0.55063,1.83304,0.85694,0.000464444,0.000464444,0.000464444
35,1489.35,0.63018,0.90702,0.95305,0.84685,0.82,0.87256,0.75747,0.54564,1.67227,0.85522,0.000450984,0.000450984,0.000450984
36,1505.57,0.93976,1.84329,1.20613,0.84112,0.845,0.88485,0.76742,0.53934,1.55664,0.85061,0.00043594,0.00043594,0.00043594
37,1521.96,0.74546,0.8367,0.93713,0.84112,0.845,0.88485,0.76742,0.53934,1.55664,0.85061,0.000419312,0.000419312,0.000419312
38,1540.46,0.66981,0.84761,0.96058,0.82985,0.8657,0.88704,0.77702,0.52275,1.45742,0.84532,0.0004011,0.0004011,0.0004011
39,1561.75,0.65977,0.83123,0.97932,0.83812,0.88018,0.90581,0.79883,0.51088,1.3879,0.84441,0.000381304,0.000381304,0.000381304
40,1575.32,0.60996,0.75041,0.95243,0.83812,0.88018,0.90581,0.79883,0.51088,1.3879,0.84441,0.000359924,0.000359924,0.000359924
41,1588.72,0.55324,0.7756,0.91543,0.83878,0.89746,0.91075,0.8071,0.49807,1.30911,0.8413,0.00033696,0.00033696,0.00033696
42,1603.15,0.57435,0.6717,0.89784,0.83565,0.9025,0.91831,0.8169,0.48949,1.23574,0.8388,0.000312412,0.000312412,0.000312412
43,1619.53,0.57108,0.68283,0.88859,0.83565,0.9025,0.91831,0.8169,0.48949,1.23574,0.8388,0.00028628,0.00028628,0.00028628
44,1632.88,0.5501,0.70056,0.86888,0.84611,0.90718,0.92304,0.82651,0.48323,1.14021,0.83564,0.000258564,0.000258564,0.000258564
45,1646.57,0.53083,0.72305,0.89874,0.84611,0.90718,0.92304,0.82651,0.48323,1.14021,0.83564,0.000229264,0.000229264,0.000229264
46,1663.46,0.58462,0.89476,0.94238,0.84976,0.9125,0.93394,0.83868,0.47042,1.0704,0.83251,0.00019838,0.00019838,0.00019838
47,1681.32,0.55234,0.66088,0.87826,0.84976,0.9125,0.93394,0.83868,0.47042,1.0704,0.83251,0.000165912,0.000165912,0.000165912
48,1696.84,0.5486,0.71867,0.89902,0.87299,0.895,0.94339,0.84822,0.4611,1.00375,0.83036,0.00013186,0.00013186,0.00013186
49,1715.85,0.5195,0.7112,0.8874,0.87299,0.895,0.94339,0.84822,0.4611,1.00375,0.83036,9.6224e-05,9.6224e-05,9.6224e-05
50,1734.71,0.52124,0.65174,0.88378,0.87584,0.9025,0.95174,0.86062,0.45328,0.94854,0.82908,5.9004e-05,5.9004e-05,5.9004e-05
1,62.0612,1.06147,3.14673,1.22386,0.06888,0.98156,0.15922,0.10974,0.77343,2.90238,0.95424,0.00018,0.00018,0.00018
2,108.082,0.77105,2.28617,0.9763,0.06976,0.99406,0.58275,0.43374,0.69961,2.6118,0.88872,0.000376238,0.000376238,0.000376238
3,153.76,0.78586,1.58095,0.98749,0.06971,0.99344,0.38995,0.26547,0.81234,2.60509,0.98798,0.000568516,0.000568516,0.000568516
4,200.3,0.74089,1.15982,0.95413,0.06831,0.97344,0.65206,0.51678,0.98646,2.73093,1.17106,0.000756834,0.000756834,0.000756834
5,247.196,0.69995,0.86656,0.96022,0.06382,0.90938,0.42009,0.35306,1.04687,2.87378,1.29035,0.000941192,0.000941192,0.000941192
6,297.984,0.69578,0.8175,0.95164,0.95895,0.765,0.91662,0.76753,0.74663,1.85683,0.97697,0.00112159,0.00112159,0.00112159
7,351.044,0.65517,0.76647,0.94272,0.9132,0.88116,0.95111,0.80416,0.66618,1.29875,0.92542,0.00129803,0.00129803,0.00129803
8,400.854,0.62555,0.73243,0.93324,0.88164,0.89094,0.93571,0.8085,0.58385,1.14962,0.89075,0.00147051,0.00147051,0.00147051
9,449.418,0.62008,0.71235,0.92704,0.9308,0.90369,0.96283,0.84247,0.5762,0.90837,0.88581,0.00163902,0.00163902,0.00163902
10,497.434,0.60822,0.65757,0.91462,0.90719,0.9,0.95464,0.83435,0.53846,0.88997,0.86347,0.00180358,0.00180358,0.00180358
